gene_id	module
ENSG00000134827.7	magenta
ENSG00000149534.8	blue
ENSG00000110077.14	brown
ENSG00000110079.16	brown
ENSG00000166927.12	turquoise
ENSG00000166928.10	turquoise
ENSG00000156738.17	brown
ENSG00000166959.7	grey
ENSG00000166961.14	grey
ENSG00000006118.14	tan
ENSG00000110446.10	brown
ENSG00000013725.14	brown
ENSG00000110448.10	brown
ENSG00000204950.3	grey
ENSG00000011347.9	brown
ENSG00000168496.3	turquoise
ENSG00000149485.18	turquoise
ENSG00000134824.13	turquoise
ENSG00000124939.5	turquoise
ENSG00000124935.3	turquoise
ENSG00000110484.6	turquoise
ENSG00000162174.12	grey
ENSG00000124942.13	turquoise
ENSG00000204922.4	salmon
ENSG00000133316.15	salmon
ENSG00000168539.3	turquoise
ENSG00000168004.9	turquoise
ENSG00000133317.14	purple
ENSG00000133321.10	turquoise
ENSG00000133328.3	turquoise
ENSG00000176485.11	turquoise
ENSG00000167771.5	turquoise
ENSG00000133315.10	salmon
ENSG00000149781.12	brown
ENSG00000173486.12	salmon
ENSG00000173457.10	turquoise
ENSG00000126432.13	salmon
ENSG00000168071.21	brown
ENSG00000068831.18	brown
ENSG00000168062.9	brown
ENSG00000146670.9	turquoise
ENSG00000149809.14	red
ENSG00000204710.2	grey
ENSG00000168056.15	turquoise
ENSG00000173442.12	brown
ENSG00000172818.9	brown
ENSG00000172638.12	pink
ENSG00000172543.7	brown
ENSG00000175602.3	salmon
ENSG00000175592.8	turquoise
ENSG00000175550.7	salmon
ENSG00000175315.2	grey
ENSG00000174871.10	turquoise
ENSG00000174807.3	pink
ENSG00000174669.11	tan
ENSG00000174080.10	turquoise
ENSG00000173992.8	salmon
ENSG00000173898.11	turquoise
ENSG00000173715.15	grey
ENSG00000173621.8	salmon
ENSG00000173599.13	salmon
ENSG00000173227.13	grey
ENSG00000173156.6	salmon
ENSG00000172830.12	turquoise
ENSG00000175482.8	red
ENSG00000256514.1	red
ENSG00000175463.11	brown
ENSG00000213402.2	brown
ENSG00000172725.13	salmon
ENSG00000175544.13	turquoise
ENSG00000110697.12	brown
ENSG00000167797.7	salmon
ENSG00000084207.15	turquoise
ENSG00000167792.11	salmon
